customer_id,account_length,location_code,intertiol_plan,voice_mail_plan,number_vm_messages,total_day_min,total_day_calls,total_day_charge,total_eve_min,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,customer_service_calls,Churn,charge_per_min_day,charge_per_min_eve,charge_per_min_night,charge_per_min_intl
1029,79.0,452,no,no,0.0,41.9,124.0,7.12,211.0,95.0,17.94,237.9,55.0,10.71,11.4,5.0,3.08,1.0,No,0.16992840095465395,0.08502369668246446,0.04501891551071879,0.27017543859649124
1030,24.0,547,no,yes,25.0,164.9,110.0,28.03,209.3,105.0,17.79,231.2,55.0,10.4,6.7,9.0,1.81,1.0,No,0.16998180715585204,0.0849976110845676,0.04498269896193772,0.2701492537313433
1031,55.0,452,no,no,0.0,175.6,147.0,29.85,161.8,118.0,13.75,289.5,55.0,13.03,9.3,4.0,2.51,0.0,No,0.16998861047835992,0.0849814585908529,0.04500863557858376,0.2698924731182795
1032,63.0,452,no,yes,33.0,184.2,111.0,31.31,312.6,89.0,26.57,264.0,55.0,11.88,12.2,4.0,3.29,1.0,No,0.1699782844733985,0.08499680102367242,0.045000000000000005,0.269672131147541
1033,105.0,445,no,no,0.0,166.1,93.0,28.24,175.9,106.0,14.95,243.5,55.0,10.96,16.2,3.0,4.37,2.0,No,0.1700180614087899,0.08499147242751563,0.04501026694045175,0.2697530864197531
1034,117.0,452,no,no,0.0,115.4,123.0,18.13,236.3,101.0,22.19,225.0,55.0,10.22,13.6,2.0,3.67,5.0,Yes,0.157105719237435,0.09390605162928481,0.045422222222222225,0.2698529411764706
1035,71.0,452,no,no,0.0,197.9,108.0,33.64,181.5,109.0,15.43,281.4,56.0,12.66,6.7,5.0,1.81,3.0,No,0.16998484082870136,0.08501377410468319,0.04498933901918977,0.2701492537313433
1036,117.0,452,no,no,0.0,118.4,126.0,20.13,249.3,97.0,21.19,227.0,56.0,10.22,13.6,3.0,3.67,5.0,Yes,0.17001689189189187,0.08499799438427598,0.045022026431718064,0.2698529411764706
1037,56.0,445,no,no,0.0,210.4,80.0,35.77,176.6,96.0,15.01,149.7,56.0,6.74,15.5,4.0,4.19,1.0,No,0.17000950570342208,0.08499433748584372,0.04502338009352038,0.2703225806451613
1038,105.0,445,no,no,0.0,271.9,101.0,48.05,240.2,105.0,20.23,186.8,56.0,8.05,8.8,6.0,2.38,0.0,Yes,0.17671938212578153,0.08422148209825146,0.04309421841541756,0.27045454545454545
1039,110.0,445,no,no,0.0,100.1,90.0,17.02,233.3,93.0,19.83,204.4,57.0,9.2,11.1,8.0,3.0,3.0,No,0.17002997002997003,0.08499785683669095,0.04500978473581213,0.2702702702702703
1040,108.0,452,no,no,0.0,199.3,104.0,33.88,224.2,92.0,19.06,140.1,57.0,6.3,15.2,2.0,4.1,0.0,No,0.16999498243853486,0.08501338090990188,0.044967880085653104,0.26973684210526316
1041,74.0,452,no,yes,35.0,154.1,104.0,26.2,123.4,84.0,10.49,202.1,57.0,9.09,10.9,9.0,2.94,2.0,No,0.1700194678780013,0.08500810372771475,0.044977733795150916,0.2697247706422018
1042,95.0,445,no,yes,32.0,262.2,123.0,44.57,165.2,82.0,14.04,194.3,57.0,8.74,10.6,5.0,2.86,0.0,No,0.16998474446987033,0.08498789346246974,0.04498198661863098,0.269811320754717
1043,99.0,452,no,no,0.0,182.6,83.0,31.04,154.5,111.0,13.13,196.0,57.0,8.82,12.1,5.0,3.27,0.0,No,0.16998904709748083,0.08498381877022654,0.045,0.2702479338842975
1044,122.0,452,yes,no,0.0,230.9,132.0,39.25,243.2,99.0,20.67,182.4,57.0,8.21,11.0,2.0,2.97,0.0,Yes,0.16998700736249459,0.08499177631578948,0.0450109649122807,0.27
1045,110.0,452,no,no,0.0,227.7,88.0,38.71,170.0,96.0,14.45,128.7,57.0,5.79,11.7,5.0,3.16,1.0,No,0.1700043917435222,0.08499999999999999,0.044988344988344996,0.2700854700854701
1046,10.0,445,no,no,0.0,186.1,112.0,31.64,190.2,66.0,16.17,282.8,57.0,12.73,11.4,6.0,3.08,2.0,No,0.17001612036539496,0.08501577287066248,0.045014144271570015,0.27017543859649124
1047,94.0,445,no,no,0.0,279.2,107.0,47.76,180.8,141.0,17.47,267.6,57.0,11.59,8.9,1.0,2.4,3.0,Yes,0.17106017191977077,0.09662610619469025,0.04331091180866965,0.2696629213483146
1048,90.0,452,no,no,0.0,179.2,77.0,30.46,210.7,99.0,17.91,276.9,58.0,12.46,9.2,6.0,2.48,2.0,No,0.1699776785714286,0.08500237304224016,0.04499819429396895,0.26956521739130435
1049,86.0,547,no,yes,41.0,119.0,101.0,20.23,230.0,134.0,19.55,236.9,58.0,10.66,9.5,3.0,2.57,0.0,No,0.17,0.085,0.044997889404812155,0.27052631578947367
1050,63.0,452,no,no,0.0,211.2,80.0,35.9,237.7,93.0,20.2,259.2,58.0,11.66,12.3,2.0,3.32,0.0,No,0.1699810606060606,0.08498106857383256,0.04498456790123457,0.26991869918699185
1051,122.0,452,no,no,0.0,35.1,62.0,5.97,180.8,89.0,15.37,251.6,58.0,11.32,12.7,2.0,3.43,1.0,No,0.17008547008547006,0.08501106194690264,0.04499205087440382,0.27007874015748035
1052,63.0,452,yes,no,0.0,62.9,112.0,10.69,202.9,111.0,17.25,259.0,58.0,11.66,8.9,8.0,2.4,1.0,No,0.16995230524642288,0.08501724987678659,0.04501930501930502,0.2696629213483146
1053,177.0,452,no,no,0.0,266.1,91.0,45.24,225.2,79.0,19.14,224.7,58.0,10.11,8.9,8.0,2.4,3.0,Yes,0.17001127395715895,0.0849911190053286,0.04499332443257677,0.2696629213483146
1054,75.0,445,yes,no,0.0,194.3,57.0,34.92,93.6,121.0,8.98,170.9,58.0,7.92,9.7,4.0,2.62,4.0,Yes,0.179722079258878,0.09594017094017095,0.04634289057928613,0.2701030927835052
1055,52.0,547,yes,no,0.0,238.4,123.0,44.74,196.6,78.0,15.71,200.0,58.0,8.64,11.0,1.0,2.97,0.0,Yes,0.18766778523489933,0.07990844354018312,0.0432,0.27
1056,131.0,452,no,yes,25.0,192.7,85.0,32.76,225.9,105.0,19.2,254.2,59.0,11.44,10.9,6.0,2.94,2.0,No,0.17000518941359627,0.0849933598937583,0.04500393391030685,0.2697247706422018
1057,121.0,445,no,no,0.0,168.6,121.0,28.66,168.6,94.0,14.33,95.3,59.0,4.29,12.3,4.0,3.32,1.0,No,0.16998813760379597,0.08499406880189798,0.045015739769150055,0.26991869918699185
1058,122.0,547,no,no,0.0,157.1,134.0,26.71,184.9,122.0,15.72,197.2,59.0,8.87,8.5,5.0,2.3,4.0,Yes,0.17001909611712288,0.08501892915089238,0.04497971602434077,0.27058823529411763
1059,135.0,547,no,no,0.0,154.4,130.0,26.25,203.8,90.0,17.32,158.7,59.0,7.14,11.8,3.0,3.19,0.0,No,0.17001295336787564,0.08498527968596663,0.04499054820415879,0.2703389830508474
1060,113.0,452,no,yes,23.0,205.0,101.0,34.85,152.0,60.0,12.92,158.6,59.0,7.14,10.2,5.0,2.75,2.0,No,0.17,0.085,0.045018915510718786,0.26960784313725494
1061,102.0,452,no,no,0.0,144.4,87.0,24.55,266.5,128.0,22.65,217.6,59.0,9.79,7.1,7.0,1.92,0.0,No,0.17001385041551245,0.0849906191369606,0.04499080882352941,0.27042253521126763
1062,110.0,452,no,no,0.0,241.2,105.0,41.0,174.3,85.0,14.82,245.3,59.0,11.04,8.5,4.0,2.3,2.0,No,0.16998341625207297,0.08502581755593804,0.04500611496127191,0.27058823529411763
1063,122.0,452,yes,no,0.0,247.9,125.0,41.25,251.2,98.0,20.67,180.4,59.0,8.21,11.0,2.0,2.97,0.0,Yes,0.1663977410246067,0.08228503184713377,0.045509977827051004,0.27
1064,50.0,452,yes,no,0.0,99.6,113.0,16.93,320.7,102.0,27.24,163.2,59.0,7.25,13.7,5.0,3.7,2.0,Yes,0.16997991967871487,0.08493919550982226,0.04442401960784314,0.27007299270072993
1065,105.0,445,no,no,0.0,270.9,98.0,46.05,226.2,110.0,19.23,178.8,60.0,8.05,8.8,5.0,2.38,0.0,Yes,0.1699889258028793,0.08501326259946951,0.045022371364653244,0.27045454545454545
1066,90.0,452,no,no,0.0,193.7,83.0,32.93,154.2,79.0,13.11,299.0,60.0,13.46,12.7,3.0,3.43,1.0,No,0.17000516262261228,0.08501945525291829,0.04501672240802676,0.27007874015748035
1067,73.0,547,no,no,0.0,254.7,80.0,43.3,90.2,79.0,7.67,153.4,60.0,6.9,10.6,8.0,2.86,0.0,No,0.17000392618767177,0.08503325942350332,0.044980443285528034,0.269811320754717
1068,123.0,445,no,no,0.0,206.9,115.0,35.17,224.4,86.0,19.07,197.4,60.0,8.88,8.3,2.0,2.24,3.0,No,0.16998550024166265,0.08498217468805704,0.044984802431610946,0.26987951807228916
1069,164.0,445,no,yes,25.0,219.1,88.0,37.25,151.5,99.0,12.88,50.1,60.0,2.25,14.3,6.0,3.86,1.0,No,0.17001369237790964,0.08501650165016503,0.04491017964071856,0.2699300699300699
1070,142.0,445,yes,yes,25.0,191.1,109.0,32.49,149.6,120.0,12.72,227.8,60.0,10.25,9.8,3.0,2.65,0.0,No,0.17001569858712717,0.08502673796791445,0.04499561018437225,0.2704081632653061
1071,69.0,452,no,no,0.0,228.2,70.0,38.79,263.7,80.0,22.41,142.6,60.0,6.42,10.7,5.0,2.89,3.0,No,0.16998247151621385,0.08498293515358363,0.045021037868162694,0.27009345794392525
1072,134.0,452,no,no,0.0,141.7,95.0,24.09,205.6,101.0,17.48,218.5,60.0,9.83,8.8,6.0,2.38,0.0,No,0.17000705716302048,0.08501945525291829,0.044988558352402744,0.27045454545454545
1073,82.0,445,no,no,0.0,200.3,96.0,34.05,201.2,102.0,17.1,206.1,60.0,9.27,7.1,1.0,1.92,4.0,No,0.16999500748876684,0.08499005964214713,0.044978165938864625,0.27042253521126763
1074,126.0,445,no,no,0.0,211.6,70.0,35.97,216.9,80.0,18.44,153.5,60.0,6.91,7.8,1.0,2.11,1.0,No,0.1699905482041588,0.08501613646841863,0.045016286644951144,0.2705128205128205
1075,137.0,452,no,no,0.0,115.0,130.0,19.55,137.8,83.0,11.71,224.0,61.0,10.08,7.3,4.0,1.97,3.0,No,0.17,0.08497822931785196,0.045,0.26986301369863014
1076,151.0,445,no,no,0.0,134.5,88.0,22.87,143.1,112.0,12.16,223.9,61.0,10.08,15.4,1.0,4.16,1.0,No,0.1700371747211896,0.08497554157931517,0.04502009825815096,0.2701298701298701
1077,71.0,452,no,no,0.0,207.0,112.0,35.19,173.8,96.0,14.77,178.4,61.0,8.03,12.1,3.0,3.27,1.0,No,0.16999999999999998,0.08498273878020712,0.04501121076233183,0.2702479338842975
1078,94.0,445,no,no,0.0,269.2,104.0,45.76,193.8,144.0,16.47,257.6,61.0,11.59,8.9,2.0,2.4,3.0,Yes,0.1699851411589896,0.084984520123839,0.044992236024844715,0.2696629213483146
1079,73.0,445,no,no,0.0,194.8,112.0,33.12,167.2,85.0,14.21,100.3,61.0,4.51,10.8,6.0,2.92,1.0,No,0.17002053388090346,0.08498803827751197,0.04496510468594217,0.27037037037037037
1080,162.0,547,no,yes,46.0,224.9,97.0,38.23,188.2,84.0,16.0,254.6,61.0,11.46,12.1,2.0,3.27,0.0,No,0.1699866607381058,0.08501594048884166,0.045011783189316576,0.2702479338842975
1081,84.0,445,no,yes,30.0,106.5,65.0,18.11,225.7,108.0,19.18,188.6,61.0,8.49,5.7,3.0,1.54,2.0,No,0.1700469483568075,0.08498006202924235,0.04501590668080594,0.27017543859649124
1082,151.0,452,no,no,0.0,118.9,128.0,20.21,278.3,65.0,23.66,194.8,61.0,8.77,13.2,10.0,3.56,2.0,No,0.16997476871320438,0.08501616960114984,0.045020533880903484,0.2696969696969697
1083,143.0,445,no,no,0.0,155.5,101.0,26.44,213.4,89.0,18.14,237.9,61.0,10.71,7.6,11.0,2.05,1.0,No,0.17003215434083602,0.08500468603561387,0.04501891551071879,0.26973684210526316
1084,95.0,452,no,no,0.0,269.0,120.0,45.73,233.7,120.0,19.86,179.3,61.0,8.07,7.3,4.0,1.97,2.0,Yes,0.16999999999999998,0.08498074454428756,0.04500836586726157,0.26986301369863014
1085,101.0,452,no,no,0.0,118.6,89.0,20.16,199.6,97.0,16.97,53.3,61.0,2.4,11.5,5.0,3.11,1.0,No,0.1699831365935919,0.08502004008016031,0.0450281425891182,0.27043478260869563
1086,125.0,445,no,no,0.0,113.0,108.0,19.21,169.2,107.0,14.38,156.6,61.0,7.05,9.2,5.0,2.48,2.0,Yes,0.17,0.08498817966903074,0.045019157088122604,0.26956521739130435
1087,106.0,452,no,no,0.0,119.2,142.0,20.26,228.4,139.0,19.41,197.9,61.0,8.91,8.4,9.0,2.27,2.0,No,0.16996644295302013,0.08498248686514887,0.045022738756947955,0.2702380952380952
1088,100.0,547,no,yes,38.0,224.7,121.0,38.2,294.0,131.0,24.99,290.0,61.0,13.05,9.8,6.0,2.65,0.0,No,0.17000445037828218,0.08499999999999999,0.045000000000000005,0.2704081632653061
1089,97.0,547,no,no,0.0,125.8,95.0,22.54,159.8,103.0,14.43,199.1,61.0,8.73,11.9,3.0,3.21,4.0,Yes,0.1791732909379968,0.09030037546933667,0.04384731290808639,0.26974789915966385
1090,152.0,452,no,no,0.0,323.8,53.0,52.03,155.9,100.0,14.0,111.4,61.0,5.55,10.4,8.0,2.81,1.0,Yes,0.16068560840024707,0.08980115458627325,0.049820466786355475,0.2701923076923077
1091,80.0,452,no,no,0.0,124.3,100.0,21.13,173.0,107.0,14.71,253.2,62.0,11.39,7.9,9.0,2.13,1.0,No,0.16999195494770716,0.08502890173410405,0.04498420221169037,0.26962025316455696
1092,148.0,547,yes,no,0.0,148.2,138.0,25.19,159.6,123.0,13.57,197.4,62.0,8.88,8.6,3.0,2.32,2.0,No,0.1699730094466937,0.08502506265664161,0.044984802431610946,0.2697674418604651
1093,106.0,547,no,no,0.0,274.4,120.0,46.65,198.6,82.0,16.88,160.8,62.0,7.24,6.0,3.0,1.62,1.0,No,0.17000728862973763,0.08499496475327291,0.045024875621890545,0.27
1094,44.0,452,no,yes,34.0,221.8,105.0,37.71,161.7,85.0,13.74,227.7,62.0,10.25,14.0,4.0,3.78,0.0,No,0.1700180342651037,0.0849721706864564,0.045015371102327624,0.26999999999999996
1095,160.0,452,no,no,0.0,97.5,113.0,16.58,268.1,69.0,22.79,255.3,62.0,11.49,13.2,4.0,3.56,3.0,No,0.17005128205128203,0.08500559492726593,0.045005875440658046,0.2696969696969697
1096,124.0,452,no,no,0.0,150.3,101.0,25.55,255.9,112.0,21.75,136.7,62.0,6.15,12.5,4.0,3.38,2.0,No,0.16999334664005322,0.08499413833528723,0.04498902706656913,0.2704
1097,148.0,452,yes,no,0.0,218.7,111.0,37.18,155.6,133.0,13.23,277.4,62.0,12.48,8.2,5.0,2.21,1.0,No,0.1700045724737083,0.08502570694087404,0.04498918529199712,0.26951219512195124
1098,60.0,547,no,yes,31.0,191.8,75.0,32.61,267.8,135.0,22.76,200.5,62.0,9.02,12.8,3.0,3.46,2.0,No,0.1700208550573514,0.08498879761015683,0.04498753117206982,0.27031249999999996
1099,50.0,452,yes,no,0.0,99.6,108.0,16.93,308.7,102.0,26.24,161.2,62.0,7.25,13.7,6.0,3.7,2.0,Yes,0.16997991967871487,0.08500161969549724,0.04497518610421836,0.27007299270072993
1100,167.0,452,no,no,0.0,158.2,130.0,30.76,162.3,111.0,14.73,219.5,62.0,9.74,12.4,3.0,3.35,4.0,Yes,0.19443742098609357,0.09075785582255083,0.044373576309794986,0.2701612903225806
1101,173.0,547,no,no,0.0,172.5,78.0,29.33,142.6,91.0,12.12,102.0,63.0,4.59,10.9,2.0,2.94,0.0,No,0.17002898550724638,0.0849929873772791,0.045,0.2697247706422018
1102,139.0,452,no,no,0.0,138.1,103.0,23.48,164.5,100.0,13.98,134.9,63.0,6.07,8.3,2.0,2.24,1.0,No,0.17002172338884866,0.08498480243161094,0.04499629355077835,0.26987951807228916
1103,118.0,452,no,yes,36.0,294.9,106.0,50.13,165.7,115.0,14.08,189.2,63.0,8.51,9.8,5.0,2.65,3.0,No,0.16998982706002036,0.08497284248642124,0.044978858350951376,0.2704081632653061
1104,93.0,452,no,no,0.0,266.0,120.0,45.22,130.1,84.0,11.06,165.8,63.0,7.46,13.1,6.0,3.54,3.0,No,0.16999999999999998,0.08501152959262107,0.04499396863691194,0.2702290076335878
1105,104.0,452,no,no,0.0,130.5,77.0,22.19,131.2,117.0,11.15,264.7,63.0,11.91,13.0,6.0,3.51,0.0,No,0.1700383141762452,0.08498475609756098,0.04499433320740461,0.26999999999999996
1106,91.0,452,no,no,0.0,190.5,128.0,32.39,205.5,103.0,17.47,130.7,63.0,5.88,13.8,5.0,3.73,0.0,No,0.1700262467191601,0.08501216545012165,0.044988523335883705,0.2702898550724638
1107,127.0,547,no,yes,19.0,129.7,115.0,22.05,160.8,101.0,13.67,265.0,63.0,11.93,12.2,3.0,3.29,2.0,No,0.17000771010023133,0.08501243781094527,0.0450188679245283,0.269672131147541
1108,75.0,445,yes,no,0.0,211.3,61.0,35.92,105.6,119.0,8.98,175.9,63.0,7.92,9.7,4.0,2.62,4.0,Yes,0.16999526739233317,0.0850378787878788,0.0450255827174531,0.2701030927835052
1109,97.0,547,no,no,0.0,120.8,96.0,20.54,169.8,101.0,14.43,194.1,63.0,8.73,11.9,3.0,3.21,4.0,Yes,0.17003311258278145,0.08498233215547703,0.04497681607418857,0.26974789915966385
1110,152.0,452,no,no,0.0,317.8,60.0,54.03,152.9,100.0,13.0,123.4,63.0,5.55,10.4,7.0,2.81,1.0,Yes,0.17001258653241033,0.08502289077828645,0.04497568881685575,0.2701923076923077
1111,80.0,452,no,no,0.0,127.8,67.0,21.73,181.6,112.0,15.44,197.3,63.0,8.88,15.9,2.0,4.29,2.0,No,0.17003129890453836,0.08502202643171806,0.04500760263558034,0.269811320754717
1112,138.0,547,no,no,0.0,205.9,96.0,35.0,257.1,94.0,21.85,209.0,63.0,9.4,12.1,8.0,3.27,0.0,No,0.16998542982030113,0.08498638661999222,0.044976076555023926,0.2702479338842975
1113,107.0,547,no,yes,27.0,283.4,104.0,48.18,224.1,152.0,19.05,241.3,63.0,10.86,14.4,7.0,3.89,2.0,No,0.17000705716302048,0.08500669344042838,0.045006216328222125,0.2701388888888889
1114,129.0,445,no,no,0.0,186.0,127.0,31.62,262.3,96.0,22.3,98.9,63.0,4.45,11.5,6.0,3.11,4.0,No,0.17,0.08501715592832634,0.04499494438827098,0.27043478260869563
1115,77.0,445,no,no,0.0,62.4,82.0,12.61,155.9,123.0,15.44,217.6,63.0,9.43,5.7,6.0,1.54,5.0,Yes,0.20208333333333334,0.09903784477228993,0.04333639705882353,0.27017543859649124
1116,177.0,452,no,no,0.0,271.1,86.0,47.24,234.2,84.0,18.14,233.7,63.0,10.11,8.9,7.0,2.4,3.0,Yes,0.17425304315750645,0.07745516652433818,0.04326059050064185,0.2696629213483146
1117,77.0,445,no,no,0.0,62.4,89.0,10.61,169.9,121.0,14.44,209.6,64.0,9.43,5.7,6.0,1.54,5.0,Yes,0.1700320512820513,0.08499117127722189,0.044990458015267173,0.27017543859649124
1118,119.0,445,no,no,0.0,294.2,100.0,50.01,232.5,53.0,19.76,195.0,64.0,8.78,9.0,1.0,2.43,0.0,Yes,0.16998640380693406,0.08498924731182797,0.04502564102564102,0.27
1119,171.0,547,no,yes,17.0,186.9,94.0,31.77,240.0,138.0,20.4,200.9,64.0,9.04,5.8,3.0,1.57,1.0,No,0.169983948635634,0.08499999999999999,0.044997511199601783,0.27068965517241383
1120,97.0,452,no,yes,28.0,202.3,97.0,34.39,69.2,84.0,5.88,257.6,64.0,11.59,6.7,3.0,1.81,1.0,No,0.16999505684626792,0.08497109826589595,0.044992236024844715,0.2701492537313433
1121,139.0,452,no,no,0.0,181.6,119.0,30.87,335.7,118.0,28.53,149.8,64.0,6.74,8.3,6.0,2.24,4.0,No,0.16998898678414098,0.08498659517426274,0.04499332443257677,0.26987951807228916
1122,137.0,547,no,no,0.0,110.5,79.0,18.79,223.2,111.0,18.97,169.5,64.0,7.63,10.5,3.0,2.84,3.0,No,0.17004524886877828,0.0849910394265233,0.045014749262536874,0.2704761904761905
1123,205.0,547,no,yes,24.0,175.8,139.0,29.89,155.0,98.0,13.18,180.7,64.0,8.13,7.8,5.0,2.11,2.0,No,0.17002275312855517,0.08503225806451613,0.04499169894853349,0.2705128205128205
1124,40.0,547,no,no,0.0,81.7,123.0,13.89,210.2,108.0,17.87,212.0,64.0,9.54,11.3,3.0,3.05,6.0,Yes,0.17001223990208078,0.08501427212178878,0.045,0.26991150442477874
1125,110.0,547,no,no,0.0,188.0,127.0,31.96,90.5,118.0,7.69,150.3,64.0,6.76,15.3,3.0,4.13,3.0,No,0.17,0.08497237569060774,0.04497671324018629,0.2699346405228758
1126,116.0,547,no,no,0.0,137.4,126.0,23.36,120.0,94.0,10.2,130.3,64.0,5.86,12.4,2.0,3.35,3.0,No,0.1700145560407569,0.08499999999999999,0.04497313891020721,0.2701612903225806
1127,130.0,445,no,no,0.0,252.0,101.0,42.84,170.2,105.0,14.47,209.2,64.0,9.41,5.7,5.0,1.54,0.0,No,0.17,0.08501762632197415,0.04498087954110899,0.27017543859649124
